Food Name,Category,Serving Size (g),Protein (g),Carbohydrates (g),Total Fat (g),Dietary Fiber (g),Sugars (g),Calories (kcal)
Mango,Fruits,174.6,0.8,23.6,0.5,1.7,18.8,187.34
Greek Yogurt,Dairy,216.9,2.5,4.6,16.1,0.1,5.5,370.7
Cornflakes,Grains & Cereals,57.7,6.6,55.9,3.7,7.6,10.4,165.94
Pork Loin,Meat & Poultry,162.3,24.4,1.1,13.6,0.2,0.5,381.26
Pomfret,Seafood,150.7,15.7,1.9,7.8,0.1,0.5,206.76
Chana Dal,Legumes,164.4,6.4,24.9,1.9,5.1,2.3,251.72
Hazelnuts,Nuts & Seeds,21.6,15.0,16.4,44.1,3.6,4.2,113.46
Potato Chips,Snacks,58.8,6.6,51.2,40.0,3.7,16.7,371.6
Orange Juice,Beverages,202.5,1.1,10.5,0.3,0.7,6.4,102.66
Chocolate Cake,Desserts,109.0,5.8,42.9,13.6,0.6,32.0,348.34
Chicken Burger,Fast Food,245.9,11.1,28.1,10.7,1.9,8.7,627.93
Bell Pepper,Vegetables,176.2,2.0,7.7,0.6,3.1,5.8,89.0
Papaya,Fruits,155.2,1.0,8.3,0.4,2.5,14.0,66.29
Butter,Dairy,126.8,4.7,11.0,17.7,0.2,7.4,287.6
Ragi,Grains & Cereals,158.4,12.3,77.7,4.6,4.7,8.2,667.31
Keema,Meat & Poultry,231.8,27.9,0.2,3.2,0.0,0.2,325.09
Tilapia,Seafood,165.6,18.0,0.9,6.2,0.0,0.1,216.93
Boiled Chickpeas,Legumes,108.7,8.9,18.0,2.3,8.0,0.8,161.41
Cashews,Nuts & Seeds,37.7,19.6,20.2,44.5,5.2,4.5,213.94
Roasted Peanuts,Snacks,40.5,7.1,58.2,22.3,1.9,9.8,190.05
Sweet Tea,Beverages,283.2,1.5,3.4,1.4,0.6,6.8,91.93
Donut,Desserts,92.2,4.7,44.7,17.3,0.4,34.9,329.91
Fried Chicken,Fast Food,299.9,14.0,37.7,11.6,2.4,5.8,1001.07
Tomato,Vegetables,133.1,1.2,7.7,0.3,3.8,4.4,60.78
Watermelon,Fruits,187.8,1.8,21.5,0.7,1.9,9.3,185.42
Buttermilk,Dairy,118.1,7.7,13.6,3.5,0.3,5.4,141.34
Upma,Grains & Cereals,146.9,9.1,78.5,2.9,9.3,9.0,573.32
Chicken Breast,Meat & Poultry,171.2,22.9,1.2,6.5,0.1,0.9,262.01
Rohu Fish,Seafood,163.0,17.4,1.0,10.9,0.0,0.4,276.22
Moong Dal,Legumes,163.2,6.3,24.5,0.9,5.8,2.3,236.52
Peanuts,Nuts & Seeds,36.0,23.6,8.1,56.5,10.9,4.7,232.01
Cookies,Snacks,33.3,7.1,58.1,33.8,1.7,19.8,183.36
Coconut Water,Beverages,307.2,0.8,3.3,1.7,0.2,4.7,100.69
Jalebi,Desserts,75.9,2.6,47.2,14.9,0.7,20.2,260.84
Veg Wrap,Fast Food,274.6,8.2,34.3,19.4,1.1,5.2,902.44
Cabbage,Vegetables,236.6,1.5,8.0,0.2,4.2,7.4,109.65
Pomegranate,Fruits,119.0,0.8,10.7,0.5,2.0,15.2,63.72
Whole Milk,Dairy,189.3,3.0,3.1,21.4,0.4,6.9,400.16
White Rice,Grains & Cereals,146.1,7.3,66.8,3.1,7.5,2.6,500.17
Mutton Curry Cut,Meat & Poultry,205.3,20.0,0.1,12.7,0.2,0.7,397.98
Tuna,Seafood,129.1,17.6,1.1,3.5,0.1,0.1,136.38
Kidney Beans,Legumes,187.9,7.4,24.0,1.6,8.6,2.6,295.86
Sunflower Seeds,Nuts & Seeds,20.5,21.4,19.8,53.1,5.6,5.0,133.74
Popcorn,Snacks,56.4,7.4,45.9,30.5,2.8,9.0,263.66
Lemonade,Beverages,259.7,3.1,10.7,0.5,0.2,4.1,149.03
Pastry,Desserts,65.8,6.0,40.7,26.6,0.5,44.5,286.95
Pav Bhaji,Fast Food,209.9,11.9,26.8,22.3,1.5,6.8,714.31
Spinach,Vegetables,238.3,0.6,4.2,0.2,2.2,2.0,59.73
Banana,Fruits,134.4,1.3,14.1,0.4,2.5,10.8,92.17
Paneer,Dairy,152.5,7.1,14.8,6.0,0.2,4.6,220.05
Whole Wheat Bread,Grains & Cereals,106.2,7.4,69.5,3.5,2.5,11.2,366.78
Chicken Thigh,Meat & Poultry,151.6,23.0,2.8,9.4,0.1,0.8,293.23
Mackerel,Seafood,186.2,25.9,1.1,10.5,0.1,0.4,369.53
Green Peas,Legumes,116.5,6.5,15.3,2.0,8.1,1.6,143.57
Pumpkin Seeds,Nuts & Seeds,38.7,20.1,24.6,47.6,7.9,5.8,236.31
Banana Chips,Snacks,46.8,7.7,57.0,35.3,1.2,15.1,268.95
Fruit Smoothie,Beverages,232.1,1.5,7.8,1.1,0.0,5.7,110.73
Gulab Jamun,Desserts,111.2,5.9,42.5,13.5,0.7,31.9,351.92
Cheese Pizza Slice,Fast Food,212.6,8.4,25.6,13.4,2.7,7.4,544.04
Carrot,Vegetables,234.1,2.8,6.3,0.8,4.6,4.4,123.92
Mango,Fruits,100.4,1.4,9.5,0.7,1.7,7.8,55.05
Greek Yogurt,Dairy,118.8,7.9,8.5,7.9,0.5,13.3,159.33
Cornflakes,Grains & Cereals,93.1,11.2,73.3,3.2,8.7,1.5,346.51
Pork Loin,Meat & Poultry,128.8,25.5,2.5,4.0,0.0,0.0,191.38
Pomfret,Seafood,167.4,20.5,1.1,10.0,0.0,0.0,303.14
Chana Dal,Legumes,160.8,9.3,15.3,1.8,8.5,1.9,208.11
Hazelnuts,Nuts & Seeds,26.9,16.2,21.2,62.5,10.8,4.2,197.49
Potato Chips,Snacks,31.0,6.2,50.1,23.4,1.5,14.2,136.38
Orange Juice,Beverages,236.8,0.2,13.0,0.1,0.1,5.9,136.3
Chocolate Cake,Desserts,70.5,5.6,45.1,19.0,1.1,20.9,273.68
Chicken Burger,Fast Food,188.5,8.7,33.4,11.5,1.2,6.4,514.76
Bell Pepper,Vegetables,160.9,0.5,4.5,0.2,4.2,7.4,48.96
Papaya,Fruits,156.5,1.5,18.7,0.3,1.3,12.7,133.29
Butter,Dairy,176.4,4.9,6.7,6.9,0.2,10.2,189.33
Ragi,Grains & Cereals,168.6,6.8,75.5,3.9,2.6,3.1,623.34
Keema,Meat & Poultry,197.6,28.5,1.8,12.3,0.1,0.2,450.81
Tilapia,Seafood,187.0,16.7,1.8,5.8,0.0,0.2,237.33
Boiled Chickpeas,Legumes,138.2,7.5,29.3,2.7,8.1,2.6,259.65
Cashews,Nuts & Seeds,26.1,20.8,22.1,47.7,8.9,6.8,150.99
Roasted Peanuts,Snacks,35.7,5.5,49.0,22.2,3.4,16.1,143.31
Sweet Tea,Beverages,287.5,1.2,6.3,1.7,0.7,9.9,130.2
Donut,Desserts,100.8,3.0,41.6,11.9,1.7,35.3,284.6
Fried Chicken,Fast Food,156.4,8.1,34.5,25.0,1.6,4.3,634.24
Tomato,Vegetables,106.0,1.1,6.5,0.6,2.4,3.8,43.95
Watermelon,Fruits,104.1,0.9,13.6,0.1,2.9,18.2,67.25
Buttermilk,Dairy,214.9,3.5,10.2,23.1,0.2,6.8,539.87
Upma,Grains & Cereals,146.5,8.0,59.0,3.1,9.0,8.3,454.47
Chicken Breast,Meat & Poultry,144.7,21.3,1.0,3.9,0.2,0.6,186.08
Rohu Fish,Seafood,175.3,23.0,1.5,10.2,0.0,0.5,329.13
Moong Dal,Legumes,136.4,8.3,28.6,2.8,7.0,1.5,249.72
Peanuts,Nuts & Seeds,39.0,21.4,8.6,47.0,10.2,6.4,215.38
Cookies,Snacks,26.1,7.1,61.6,26.3,1.4,24.9,138.31
Coconut Water,Beverages,324.4,2.3,9.5,0.5,0.7,2.8,177.05
Jalebi,Desserts,56.0,4.8,54.6,13.8,0.7,39.5,208.82
Veg Wrap,Fast Food,192.7,11.2,39.0,18.4,1.8,9.8,728.93
Cabbage,Vegetables,202.3,1.5,6.1,0.3,3.8,1.3,77.93
Pomegranate,Fruits,116.3,0.9,10.5,0.8,3.2,11.6,67.01
Whole Milk,Dairy,209.1,10.2,6.2,19.5,0.2,5.1,531.19
White Rice,Grains & Cereals,118.3,6.3,79.0,1.9,5.2,4.6,426.09
Mutton Curry Cut,Meat & Poultry,239.2,18.1,2.8,17.2,0.2,0.8,591.49
Tuna,Seafood,109.2,18.9,0.9,10.0,0.0,0.4,179.85
Kidney Beans,Legumes,181.9,6.0,29.2,0.9,4.6,2.5,298.84
Sunflower Seeds,Nuts & Seeds,28.9,24.6,12.7,61.4,5.8,4.7,206.28
Popcorn,Snacks,31.2,6.3,60.0,23.5,3.8,15.6,153.0
Lemonade,Beverages,311.0,0.7,0.9,1.4,0.1,1.4,59.02
Pastry,Desserts,94.3,5.2,54.9,12.8,1.6,22.4,331.8
Pav Bhaji,Fast Food,190.2,14.6,28.1,20.2,1.3,4.5,696.46
Spinach,Vegetables,232.6,3.0,2.3,0.0,2.4,3.6,60.02
Banana,Fruits,166.3,1.8,10.4,0.6,3.2,11.1,107.38
Paneer,Dairy,103.5,5.2,13.3,6.6,0.5,6.4,139.43
Whole Wheat Bread,Grains & Cereals,98.0,7.4,67.7,1.7,7.6,10.5,320.84
Chicken Thigh,Meat & Poultry,170.2,22.8,2.4,16.0,0.0,0.5,435.75
Mackerel,Seafood,157.0,16.2,2.0,3.1,0.0,0.1,150.63
Green Peas,Legumes,130.6,6.2,21.4,2.2,5.4,2.8,191.0
Pumpkin Seeds,Nuts & Seeds,35.0,18.4,24.7,54.9,5.8,6.2,239.28
Banana Chips,Snacks,45.9,6.4,52.4,20.0,3.9,16.0,201.96
Fruit Smoothie,Beverages,268.2,1.9,4.1,1.9,0.6,8.7,113.6
Gulab Jamun,Desserts,71.2,2.3,43.8,13.5,2.0,42.0,216.36
Cheese Pizza Slice,Fast Food,134.9,12.7,27.2,23.9,1.7,3.7,494.29
Carrot,Vegetables,122.2,1.1,10.6,0.2,1.8,7.2,64.3
Mango,Fruits,167.7,1.1,22.7,0.5,1.4,19.8,163.2
Greek Yogurt,Dairy,207.5,9.5,11.4,9.9,0.2,10.9,348.34
Cornflakes,Grains & Cereals,166.6,10.5,62.4,3.9,7.5,5.1,579.49
Pork Loin,Meat & Poultry,186.2,18.1,1.7,16.9,0.2,0.4,451.27
Pomfret,Seafood,155.7,20.8,0.1,13.5,0.1,0.3,322.78
Chana Dal,Legumes,128.7,8.0,21.4,2.3,4.2,2.3,185.69
Hazelnuts,Nuts & Seeds,21.4,21.3,11.8,53.2,9.7,5.0,130.83
Potato Chips,Snacks,50.7,5.2,57.8,32.3,1.0,17.2,279.35
Orange Juice,Beverages,210.7,0.2,4.3,0.8,0.2,5.5,52.52
Chocolate Cake,Desserts,77.4,4.7,41.6,24.2,0.1,34.1,316.15
Chicken Burger,Fast Food,116.3,13.5,30.6,19.3,1.5,7.1,405.89
Bell Pepper,Vegetables,143.3,1.0,13.5,0.4,3.4,3.5,100.04
Papaya,Fruits,101.5,1.8,21.6,0.2,3.2,12.4,102.87
Butter,Dairy,198.6,3.3,5.5,17.6,0.1,12.8,370.96
Ragi,Grains & Cereals,184.6,10.9,76.7,3.2,6.9,6.2,738.59
Keema,Meat & Poultry,126.0,24.9,2.3,11.1,0.2,0.4,255.9
Tilapia,Seafood,189.2,19.6,0.0,1.5,0.0,0.4,175.89
Boiled Chickpeas,Legumes,112.4,5.5,23.0,2.6,7.7,1.2,174.74
Cashews,Nuts & Seeds,35.2,23.5,8.1,61.3,3.8,2.3,242.66
Roasted Peanuts,Snacks,52.0,5.7,63.1,36.8,1.2,17.3,320.37
Sweet Tea,Beverages,349.5,3.4,9.6,0.2,0.2,10.7,184.29
Donut,Desserts,106.0,2.4,54.1,11.3,0.2,42.2,348.4
Fried Chicken,Fast Food,277.3,12.6,29.8,23.6,1.6,4.9,1044.9
Tomato,Vegetables,237.1,2.7,4.0,1.0,3.5,5.7,100.59
Watermelon,Fruits,106.8,1.5,18.9,1.2,3.7,15.8,104.07
Buttermilk,Dairy,214.0,11.5,14.6,24.2,0.0,7.2,690.66
Upma,Grains & Cereals,48.5,6.7,70.2,1.9,6.4,2.9,169.64
Chicken Breast,Meat & Poultry,153.8,28.9,2.2,23.5,0.1,0.4,486.21
Rohu Fish,Seafood,152.7,18.9,1.5,12.1,0.1,0.1,301.23
Moong Dal,Legumes,199.6,5.2,25.6,1.9,7.6,0.7,320.43
Peanuts,Nuts & Seeds,36.3,19.6,25.2,49.1,8.9,6.4,222.03
Cookies,Snacks,52.0,5.9,61.4,33.8,1.4,7.3,299.75
Coconut Water,Beverages,290.8,1.8,12.7,1.3,0.4,5.4,205.12
Jalebi,Desserts,54.4,4.3,47.7,24.5,2.1,40.8,235.65
Veg Wrap,Fast Food,258.8,11.6,26.1,20.2,2.4,6.7,895.31
Cabbage,Vegetables,208.1,1.0,6.6,0.4,3.8,6.9,90.38
Pomegranate,Fruits,179.2,0.9,10.7,1.0,1.7,13.8,110.22
Whole Milk,Dairy,231.1,5.0,7.0,16.5,0.3,4.1,451.53
White Rice,Grains & Cereals,130.8,9.8,60.0,3.3,5.0,3.2,421.72
Mutton Curry Cut,Meat & Poultry,249.2,28.7,2.8,7.8,0.0,0.8,467.51
Tuna,Seafood,151.4,15.3,0.5,1.1,0.1,0.3,113.72
Kidney Beans,Legumes,167.3,6.3,24.0,0.6,7.2,2.3,243.67
Sunflower Seeds,Nuts & Seeds,25.8,23.3,22.0,46.7,4.6,5.2,148.67
Popcorn,Snacks,49.9,4.6,48.3,29.6,2.8,8.5,245.61
Lemonade,Beverages,206.3,1.1,3.1,1.6,1.0,6.4,67.67
Pastry,Desserts,86.2,2.6,56.1,11.7,2.9,34.7,290.7
Pav Bhaji,Fast Food,112.2,8.2,36.7,11.7,2.7,6.7,344.87
Spinach,Vegetables,195.3,0.6,3.8,0.8,2.9,7.2,61.45
Banana,Fruits,127.3,0.7,10.3,1.4,1.3,13.9,76.23
Paneer,Dairy,169.9,7.9,12.6,19.5,0.4,6.2,438.9
Whole Wheat Bread,Grains & Cereals,170.8,12.0,62.6,4.4,3.5,9.8,588.78
Chicken Thigh,Meat & Poultry,140.1,18.6,3.0,8.5,0.1,0.2,228.83
Mackerel,Seafood,159.4,17.6,0.8,10.0,0.1,0.3,258.91
Green Peas,Legumes,136.8,9.1,15.6,1.2,4.3,2.2,163.14
Pumpkin Seeds,Nuts & Seeds,32.8,18.5,16.6,53.6,3.4,4.2,209.31
Banana Chips,Snacks,42.4,4.3,58.4,26.2,1.0,8.1,210.28
Fruit Smoothie,Beverages,319.9,2.4,3.4,1.5,0.3,8.1,121.27
Gulab Jamun,Desserts,102.9,2.2,48.4,29.9,2.9,25.5,470.1
Cheese Pizza Slice,Fast Food,167.3,9.1,35.0,17.5,2.1,8.8,582.2
Carrot,Vegetables,116.2,1.4,2.6,0.4,4.8,4.4,32.11
Mango,Fruits,181.6,1.9,23.4,0.9,2.1,14.5,213.44
Greek Yogurt,Dairy,109.1,10.2,8.5,3.4,0.3,4.7,109.86
Cornflakes,Grains & Cereals,152.5,11.2,76.4,5.7,9.7,9.1,645.66
Pork Loin,Meat & Poultry,211.6,25.5,0.4,4.3,0.0,0.8,311.27
Pomfret,Seafood,187.1,25.8,1.8,2.4,0.1,0.4,250.17
Chana Dal,Legumes,112.4,5.6,28.9,0.9,5.8,1.6,176.17
Hazelnuts,Nuts & Seeds,28.5,24.9,25.4,63.2,5.3,3.1,225.58
Potato Chips,Snacks,38.7,4.0,60.6,39.9,2.6,12.8,253.83
Orange Juice,Beverages,233.8,0.9,7.0,0.9,0.5,11.0,95.75
Chocolate Cake,Desserts,94.5,2.2,38.4,21.4,2.4,42.2,344.24
Chicken Burger,Fast Food,145.2,9.1,31.0,15.0,2.7,6.4,424.29
Bell Pepper,Vegetables,221.6,0.8,13.9,0.1,1.1,2.3,135.72
Papaya,Fruits,103.3,1.3,14.1,0.1,3.6,9.5,73.32
Butter,Dairy,152.3,2.8,4.1,20.1,0.2,5.7,326.98
Ragi,Grains & Cereals,99.9,6.5,57.9,4.7,7.5,11.7,308.93
Keema,Meat & Poultry,226.7,24.5,1.9,6.1,0.1,0.2,377.01
Tilapia,Seafood,160.0,19.7,1.9,14.7,0.0,0.2,342.12
Boiled Chickpeas,Legumes,138.7,6.9,18.9,2.9,6.1,2.4,195.73
Cashews,Nuts & Seeds,26.8,23.6,7.0,45.2,5.9,5.4,141.89
Roasted Peanuts,Snacks,35.1,5.3,49.9,20.1,2.6,7.3,141.97
Sweet Tea,Beverages,228.6,2.5,3.7,0.7,0.2,12.4,70.93
Donut,Desserts,92.8,3.8,39.7,13.1,0.3,36.0,273.72
Fried Chicken,Fast Food,244.2,13.4,29.9,23.8,2.5,8.6,916.77
Tomato,Vegetables,100.6,1.2,7.5,0.1,2.8,1.3,40.45
Watermelon,Fruits,165.2,1.4,17.6,0.5,2.7,18.6,134.82
Buttermilk,Dairy,158.8,6.6,7.1,17.6,0.5,7.7,334.13
Upma,Grains & Cereals,108.9,9.4,79.8,5.2,5.2,4.5,447.21
Chicken Breast,Meat & Poultry,207.9,24.3,2.4,17.5,0.0,0.7,549.84
Rohu Fish,Seafood,148.6,21.9,1.2,12.7,0.0,0.1,314.37
Moong Dal,Legumes,150.6,7.1,26.8,0.9,6.3,3.0,239.54
Peanuts,Nuts & Seeds,36.9,16.5,21.2,52.3,5.3,2.2,234.51
Cookies,Snacks,43.7,7.0,52.6,32.0,1.7,8.1,236.35
Coconut Water,Beverages,221.9,0.7,6.1,0.9,0.2,7.3,79.2
Jalebi,Desserts,113.6,2.5,47.1,16.2,1.4,30.8,368.18
Veg Wrap,Fast Food,233.7,13.7,28.4,15.3,1.2,5.9,759.77
Cabbage,Vegetables,125.1,1.9,10.3,0.2,1.1,6.5,68.09
Pomegranate,Fruits,120.5,1.9,24.4,0.9,2.1,17.8,139.37
Whole Milk,Dairy,172.3,5.6,14.0,23.0,0.3,4.2,482.29
White Rice,Grains & Cereals,174.1,13.1,58.5,1.3,8.3,5.4,526.53
Mutton Curry Cut,Meat & Poultry,189.1,27.6,0.1,3.6,0.1,0.2,269.41
Tuna,Seafood,105.9,15.4,1.5,3.5,0.1,0.4,104.67
Kidney Beans,Legumes,150.5,6.3,20.8,0.7,8.2,1.9,191.69
Sunflower Seeds,Nuts & Seeds,39.8,18.3,25.7,59.1,10.4,6.5,289.95
Popcorn,Snacks,32.2,7.2,61.1,32.9,1.8,24.3,180.62
Lemonade,Beverages,306.4,2.5,1.2,1.4,0.8,4.5,88.72
Pastry,Desserts,87.2,5.4,58.8,13.1,2.1,32.6,345.94
Pav Bhaji,Fast Food,122.0,11.4,34.0,13.5,1.8,9.1,353.03
Spinach,Vegetables,165.5,1.0,13.0,0.6,2.6,2.7,107.21
Banana,Fruits,133.7,1.1,16.0,1.1,2.1,12.6,109.35
Paneer,Dairy,142.6,9.1,13.5,22.7,0.4,8.0,419.27
Whole Wheat Bread,Grains & Cereals,187.1,13.6,73.2,4.0,8.2,9.3,744.05
Chicken Thigh,Meat & Poultry,176.2,23.2,0.8,14.0,0.1,0.9,408.98
Mackerel,Seafood,135.9,18.8,1.3,8.0,0.0,0.4,202.87
Green Peas,Legumes,197.3,6.0,23.3,2.3,8.4,0.6,313.82
Pumpkin Seeds,Nuts & Seeds,29.3,17.8,11.3,50.2,10.0,3.5,168.6
Banana Chips,Snacks,34.7,7.5,58.2,35.1,1.5,22.5,201.22
Fruit Smoothie,Beverages,220.0,3.4,2.8,0.3,0.6,4.1,66.5
Gulab Jamun,Desserts,61.3,5.0,54.8,13.1,1.7,40.3,228.62
Cheese Pizza Slice,Fast Food,141.8,8.0,32.9,12.9,2.4,9.7,397.6
Carrot,Vegetables,180.1,1.0,2.2,0.8,2.7,7.6,45.97
Mango,Fruits,152.8,1.0,11.4,1.3,3.1,11.4,105.12
Greek Yogurt,Dairy,170.0,9.8,4.0,1.1,0.1,7.3,109.8
Cornflakes,Grains & Cereals,102.2,9.3,66.0,1.7,10.2,7.2,342.77
Pork Loin,Meat & Poultry,225.7,21.8,2.6,15.7,0.1,0.9,548.07
Pomfret,Seafood,176.1,17.5,0.3,10.5,0.0,0.3,284.41
Chana Dal,Legumes,147.2,6.4,22.4,1.2,7.3,2.4,199.02
Hazelnuts,Nuts & Seeds,25.3,20.1,22.0,48.7,8.9,5.6,153.11
Potato Chips,Snacks,39.1,7.4,50.0,34.7,3.9,22.3,222.88
Orange Juice,Beverages,263.5,3.5,8.0,0.2,0.0,10.3,132.85
Chocolate Cake,Desserts,118.2,3.4,53.9,19.3,2.6,38.4,478.82
Chicken Burger,Fast Food,233.0,9.8,34.9,10.3,3.0,4.8,665.93
Bell Pepper,Vegetables,156.1,0.9,13.0,0.0,2.8,4.3,90.49
Papaya,Fruits,104.1,1.8,13.6,0.9,3.6,17.0,81.32
Butter,Dairy,126.9,2.5,10.1,14.6,0.4,4.6,231.38
Ragi,Grains & Cereals,88.6,7.2,66.7,5.4,7.9,2.5,326.77
Keema,Meat & Poultry,145.4,23.4,0.1,7.8,0.1,1.0,237.6
Tilapia,Seafood,105.1,20.6,0.2,4.5,0.1,0.4,136.25
Boiled Chickpeas,Legumes,189.2,5.9,16.8,2.0,6.5,2.4,217.81
Cashews,Nuts & Seeds,31.2,24.2,17.9,49.4,9.8,2.2,190.46
Roasted Peanuts,Snacks,30.6,5.1,62.3,24.8,3.5,6.6,152.62
Sweet Tea,Beverages,252.9,3.0,2.0,1.8,0.2,5.9,88.25
Donut,Desserts,93.2,5.8,46.0,23.8,1.7,32.5,393.44
Fried Chicken,Fast Food,225.0,12.9,33.0,19.7,2.2,6.0,843.44
Tomato,Vegetables,212.4,2.4,14.6,1.0,4.3,5.2,180.12
Watermelon,Fruits,151.4,1.1,12.4,0.0,3.9,18.2,93.1
Buttermilk,Dairy,136.7,8.9,8.2,20.2,0.5,6.8,340.63
Upma,Grains & Cereals,65.6,6.7,64.9,1.1,3.0,3.3,203.66
Chicken Breast,Meat & Poultry,207.3,19.3,2.6,7.9,0.0,0.0,327.2
Rohu Fish,Seafood,185.2,20.6,0.2,14.8,0.0,0.2,410.35
Moong Dal,Legumes,101.3,6.3,27.1,1.2,4.0,1.6,155.67
Peanuts,Nuts & Seeds,21.2,21.4,19.2,48.2,8.6,5.4,130.52
Cookies,Snacks,52.8,6.3,60.8,25.3,1.4,19.0,265.22
Coconut Water,Beverages,215.0,0.1,11.5,0.4,0.3,8.2,106.89
Jalebi,Desserts,96.9,2.1,57.9,16.2,2.0,44.7,371.49
Veg Wrap,Fast Food,184.8,11.6,30.7,19.0,2.9,8.5,618.57
Cabbage,Vegetables,220.9,2.7,3.8,0.8,2.0,6.0,88.59
Pomegranate,Fruits,143.5,0.5,22.4,0.6,2.0,13.6,141.83
Whole Milk,Dairy,199.1,3.4,8.2,22.3,0.0,8.0,490.8
White Rice,Grains & Cereals,181.8,10.8,75.6,2.3,5.2,11.3,706.79
Mutton Curry Cut,Meat & Poultry,168.4,23.7,1.4,4.3,0.2,0.8,237.17
Tuna,Seafood,162.3,18.8,0.2,11.0,0.1,0.1,271.48
Kidney Beans,Legumes,160.6,5.6,21.9,1.7,4.8,1.8,221.43
Sunflower Seeds,Nuts & Seeds,36.8,16.5,25.0,50.5,8.0,5.1,214.41
Popcorn,Snacks,39.6,7.4,57.5,29.0,2.2,12.6,208.43
Lemonade,Beverages,286.7,1.5,5.5,0.1,0.3,9.8,84.05
Pastry,Desserts,51.0,4.2,56.4,25.9,0.3,44.4,233.85
Pav Bhaji,Fast Food,101.7,13.5,30.0,19.0,1.7,3.4,360.48
Spinach,Vegetables,102.5,0.7,9.9,0.5,2.8,5.8,55.15
Banana,Fruits,188.5,1.6,23.5,0.7,1.2,17.4,207.24
Paneer,Dairy,147.6,4.4,3.5,15.0,0.5,10.5,246.27
Whole Wheat Bread,Grains & Cereals,133.3,12.7,66.9,5.9,5.5,4.2,520.84
Chicken Thigh,Meat & Poultry,153.2,29.7,1.5,11.5,0.1,0.5,338.81
Mackerel,Seafood,150.5,19.2,0.8,9.4,0.0,0.3,256.31
Green Peas,Legumes,171.4,8.6,26.4,2.6,5.9,1.3,293.93
Pumpkin Seeds,Nuts & Seeds,23.2,21.3,18.7,60.2,4.5,4.8,162.92
Banana Chips,Snacks,43.4,6.7,54.9,27.6,3.7,20.5,222.73
Fruit Smoothie,Beverages,215.9,1.5,11.0,0.3,0.3,4.4,115.92
Gulab Jamun,Desserts,96.1,2.8,50.9,13.8,0.4,44.2,317.95
Cheese Pizza Slice,Fast Food,272.2,11.4,25.5,18.6,2.1,3.1,822.58
Carrot,Vegetables,160.1,2.4,8.4,0.6,2.0,7.8,83.41
Mango,Fruits,199.1,0.3,18.8,1.5,3.7,16.1,183.77
Greek Yogurt,Dairy,130.3,5.4,10.2,2.5,0.1,7.6,116.26
Cornflakes,Grains & Cereals,93.9,14.0,64.3,5.3,5.7,1.7,357.53
Pork Loin,Meat & Poultry,112.8,21.9,0.6,5.5,0.0,0.9,160.46
Pomfret,Seafood,156.3,20.8,0.7,8.0,0.0,0.3,241.43
Chana Dal,Legumes,102.6,7.8,21.6,1.4,5.1,1.8,142.43
Hazelnuts,Nuts & Seeds,36.0,21.8,9.3,45.3,8.2,4.0,191.8
Potato Chips,Snacks,46.8,7.8,53.5,25.3,2.8,17.6,231.43
Orange Juice,Beverages,202.1,0.2,2.9,0.3,0.1,12.0,33.43
Chocolate Cake,Desserts,83.4,5.8,44.0,20.5,2.1,27.9,330.48
Chicken Burger,Fast Food,220.6,13.2,37.1,24.8,1.7,8.2,922.27
Bell Pepper,Vegetables,142.0,2.3,11.7,0.9,2.4,5.6,100.17
Papaya,Fruits,116.9,1.6,21.4,0.6,2.5,11.3,119.85
Butter,Dairy,186.1,11.1,6.7,24.4,0.1,11.0,535.19
Ragi,Grains & Cereals,83.3,11.2,72.7,6.4,7.1,0.8,357.44
Keema,Meat & Poultry,208.5,23.9,1.6,16.1,0.1,0.8,533.03
Tilapia,Seafood,163.2,22.9,1.8,9.1,0.1,0.1,285.14
Boiled Chickpeas,Legumes,135.7,7.4,19.3,1.9,5.8,2.8,180.22
Cashews,Nuts & Seeds,23.5,20.8,15.3,46.0,7.5,4.7,142.32
Roasted Peanuts,Snacks,44.6,6.3,60.5,27.2,1.7,24.0,229.3
Sweet Tea,Beverages,344.8,2.9,2.8,1.6,0.7,12.6,129.73
Donut,Desserts,50.4,5.1,42.9,22.6,1.8,21.4,197.59
Fried Chicken,Fast Food,267.7,8.9,28.9,23.6,2.0,8.6,1015.07
Tomato,Vegetables,189.8,1.5,13.2,0.7,4.0,7.3,138.43
Watermelon,Fruits,152.8,1.8,15.7,1.2,1.2,7.0,125.46
Buttermilk,Dairy,157.2,11.8,3.1,18.1,0.1,13.6,346.28
Upma,Grains & Cereals,117.2,6.2,68.8,6.9,10.8,4.0,475.81
